1,"""Narcos desaf\u00edan los huracanes en Panam\u00e1 para tratar de mover su droga https://t.co/3MKM0nKhdS https://t.co/HSJBgTQjxn"""
2,"""Leyes no han frenado la crueldad contra los animales dom\u00e9sticos en Panam\u00e1 https://t.co/Y1lbhCDJnZ https://t.co/koEOMEg5P2"""
3,"""Messi woke up feeling DANGEROUS vs Peru \ud83e\udd76\ud83e\udd76\n\n- 0 goals \ud83d\ude08\ud83d\ude08\n- 0 assists \ud83d\ude31\ud83d\ude31\n- 0key passes \ud83d\udc10\ud83d\udc10\n- 0 chances created \ud83d\ude33\ud83d\ude33\n-\u00a01\u2026 https://t.co/X3k9XXeFue"""
4,"""RT @Rob_Kimbell: Oops...\n\nhttps://t.co/pxNaxACiO3"""
5,"""Be Strong Central America..........\ud83c\uddf8\ud83c\uddfb\ud83c\uddec\ud83c\uddf9\ud83c\uddf3\ud83c\uddee\ud83c\udded\ud83c\uddf3\ud83c\uddf5\ud83c\udde6\ud83c\udde7\ud83c\uddff\n#InGodWeTrust #TogetherJuntos #PrayForCentralAmerica  #ElSalvador\u2026 https://t.co/1x7AfFxI0I"""
6,"""RT @drsmichakat: BREAKING! KIM WOLTERS BLIJKT ZELFS BESTUURDER TE ZIJN BIJ SMARTMATIC AMSTERDAM SAMEN MET ENE CHANDLER -EEN VENEZUELAAN DIE\u2026"""
7,"""RT @ConElMazoDando: Polic\u00eda boliviana confirma la fuga de exministros de Jeanine \u00c1\u00f1ez a Brasil y Panam\u00e1 https://t.co/NGuMQ7yNbY  #6DBrisaBo\u2026"""
8,"""@realmadriden Messi woke up feeling DANGEROUS vs Peru \ud83e\udd76\ud83e\udd76\n\n- 0 goals \ud83d\ude08\ud83d\ude08\n- 0 assists \ud83d\ude31\ud83d\ude31\n- 0key passes \ud83d\udc10\ud83d\udc10\n- 0 chances\u2026 https://t.co/o9aQxhuu8s"""
9,"""Grupo Serapis Bey Panam\u00e1 | 2020-04-30 Arc\u00e1ngel Uriel, Esp\u00edritu de Ministraci\u00f3n, parte 1 - https://t.co/hvBG7puye4"""
10,"""#4gMemoryLane - The Panama Canal \u26f4\ufe0f\n\nOn November 18th 1903, Panama and the US signed the Hay\u2013Bunau-Varilla Treaty,\u2026 https://t.co/NOyAfQdBAM"""
11,"""RT @picazomario: En escasamente dos semanas #Nicaragua ha visto dos huracanes Categor\u00eda 4 llegando al mismo lugar de su costa nordeste. #Et\u2026"""
12,"""@jewaypistann Hahaha walang panama sa likes and views bebe hahaha"""
13,"""RT @ConElMazoDando: Polic\u00eda boliviana confirma la fuga de exministros de Jeanine \u00c1\u00f1ez a Brasil y Panam\u00e1 https://t.co/NGuMQ7yNbY  #6DBrisaBo\u2026"""
14,"""RT @vallarinopanama: INADMITEN QUERELLA A BALTAZAR GARZ\u00d3N.\n\nT\u00edpico ya de estos shows (pagados desde Panam\u00e1), a este \""super ex juez\"" ni siqu\u2026"""
15,"""@karen_kams56  \nI\u2019m going to tell you a story about a naval base with other agencies within its walls. It\u2019s just ri\u2026 https://t.co/qJ1yD2F8fz"""
16,"""RT @canokar: I see Kanal Istanbul is being debated again, often compared favorably by its supporters with the Panama and Suez Canals. \n\nHer\u2026"""
17,"""@enelgreenpower builds new #solar plant in #Panama\nhttps://t.co/CVNMeb1LEE"""
18,"""RT @valrodr00: Sin reina, sin mundial, sin presidente, sin Panam\u00e1, sin San Andr\u00e9s, sin salud ni educaci\u00f3n"""
19,"""Mickey\u2019nin do\u011fum g\u00fcn\u00fcn\u00fc National Geographic ka\u015fifi Joel Sartore\u2019nin Photo Ark\u2019\u0131ndan ger\u00e7ek fare foto\u011fraflar\u0131yla kut\u2026 https://t.co/UJBHMxzcGg"""
20,"""RT @rodmarmol: naka-ilang iyak na ako\n\nout of sheer gratitude\n\nsa pamilya, sa mga kaibigan, mga katrabaho, sa jowa ko hehe, sa lahat, and m\u2026"""
21,"""@prensacom Dinero del estado para proteger corruptos..\nDios  ll\u00e9vate de este mundo a todos  los pol\u00edticos ,  en especial a los \u010fe Panam\u00e1..."""
22,"""RT @amable020201: En Panam\u00e1 hay casi los 30 mil de la nueva generaci\u00f3n son los que tvnada llama a formar parte de su escuadr\u00f3n para inventa\u2026"""
23,"""La m\u00fasica en Panam\u00e1 es como un desierto infertil y agotador s\u00f3lo en el bajo mundo encontrar\u00e1s un oasis, pero que paso con sech?"""
24,"""@Comrade_Waluigi Well i know who has the worst and its Panama"""
25,"""RT @godwinalijo: @goal Messi woke up feeling DANGEROUS vs Peru \ud83e\udd76\ud83e\udd76\n\n- 0 goals \ud83d\ude08\ud83d\ude08\n- 0 assists \ud83d\ude31\ud83d\ude31\n- 0key passes \ud83d\udc10\ud83d\udc10\n- 0 chances created \ud83d\ude33\ud83d\ude33\n-\u00a01/\u2026"""
26,"""A ver cuanto cuesta un lighstick ac\u00e1 en Panam\u00e1"""
